CookerStat, GenerateAssetRegistry=0.038113, Initialize=0.207786, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId7AD79AD14EF5219832B65FA381FA0888_17, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_DCC0CD4443A1FC66B84787A4B5AC1EF2, StartTime=2016.04.06-16.07.25, HierarchicalDDC=, DataSize=16486, Duration=0.055738, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId2FF5255B4E7CC7C9AF4DABAD430DEDF9_12, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_B09AAE836462AFBCBA85860991F5F286, StartTime=2016.04.06-16.07.25, HierarchicalDDC=, DataSize=16486, Duration=0.100411, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId8723B01E467C6059FACA4C88DE403C84_13, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_2E0A22244C10913501F307ABCEFF9182, StartTime=2016.04.06-16.07.25, HierarchicalDDC=, DataSize=16486, Duration=0.077050, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId7AD79AD14EF5219832B65FA381FA0888_18, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_52C386DA6B1358E36C72E59B90A621C7, StartTime=2016.04.06-16.07.25, HierarchicalDDC=, DataSize=16486, Duration=0.053685, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId2FF5255B4E7CC7C9AF4DABAD430DEDF9_13, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_035A6246428A30EDD5437D9878383F1F, StartTime=2016.04.06-16.07.25, HierarchicalDDC=, DataSize=16486, Duration=0.081148, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId7AD79AD14EF5219832B65FA381FA0888_19, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_A77452EF6A10DB197FD105A2929AF2DF, StartTime=2016.04.06-16.07.25, HierarchicalDDC=, DataSize=16486, Duration=0.052050, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId8723B01E467C6059FACA4C88DE403C84_14, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_6212B0754257CD8A5AC734B3026325B6, StartTime=2016.04.06-16.07.25, HierarchicalDDC=, DataSize=16486, Duration=0.106558, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId7AD79AD14EF5219832B65FA381FA0888_20, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_40843CC51381FD61797F13F28A4A1C64, StartTime=2016.04.06-16.07.25, HierarchicalDDC=, DataSize=16486, Duration=0.083197, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId2FF5255B4E7CC7C9AF4DABAD430DEDF9_14, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_D05F7EEC4DF7CB85B2B54CA5132BF4A8, StartTime=2016.04.06-16.07.25, HierarchicalDDC=, DataSize=16486, Duration=0.076637, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId8723B01E467C6059FACA4C88DE403C84_15, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_B46633F007625B2B79D1EBCBB8759094, StartTime=2016.04.06-16.07.25, HierarchicalDDC=, DataSize=16486, Duration=0.072952, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId2FF5255B4E7CC7C9AF4DABAD430DEDF9_15, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_1B95EB3F4F0801EFDC4CA090D482CABD, StartTime=2016.04.06-16.07.25, HierarchicalDDC=, DataSize=16486, Duration=0.079099, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId7AD79AD14EF5219832B65FA381FA0888_21, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_AB28DA10271A80628E9F63AC9AB93B2B, StartTime=2016.04.06-16.07.25, HierarchicalDDC=, DataSize=16486, Duration=0.072952, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId2FF5255B4E7CC7C9AF4DABAD430DEDF9_16, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_D80D30764A7FBF5A16886F9881A87586, StartTime=2016.04.06-16.07.25, HierarchicalDDC=, DataSize=16486, Duration=0.075407, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId8723B01E467C6059FACA4C88DE403C84_16, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_7BF25D63173F5BB577B30ABACE629C46, StartTime=2016.04.06-16.07.25, HierarchicalDDC=, DataSize=16486, Duration=0.062704, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId2FF5255B4E7CC7C9AF4DABAD430DEDF9_17, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_48E355894A1E8EB9B49ECEB466095E74, StartTime=2016.04.06-16.07.25, HierarchicalDDC=, DataSize=16486, Duration=0.058196, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId8723B01E467C6059FACA4C88DE403C84_17, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_0929771152017B68919BA439370CEA06, StartTime=2016.04.06-16.07.25, HierarchicalDDC=, DataSize=16486, Duration=0.079099, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId7AD79AD14EF5219832B65FA381FA0888_22, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_1CDC223140AE5FDD338AF7A225A3FCE5, StartTime=2016.04.06-16.07.25, HierarchicalDDC=, DataSize=16486, Duration=0.061478, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId7AD79AD14EF5219832B65FA381FA0888_23, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_01788BD80BBC3347403996549C721EB8, StartTime=2016.04.06-16.07.25, HierarchicalDDC=, DataSize=16486, Duration=0.070084, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId8723B01E467C6059FACA4C88DE403C84_18, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_845F0594400D8957F6CFD88204F17599, StartTime=2016.04.06-16.07.25, HierarchicalDDC=, DataSize=16486, Duration=0.080738, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
