CookerStat, GenerateAssetRegistry=0.028688, Initialize=0.153277, RunGuid=RunID91778BFD4738AB02AC347999B09DF07F
DDCTransactionId1B1C9B294D52C06AC67F10BE514D25B9_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_42CEEC034608CAE59C59829359B4BCA__E3C0BE85043CEF23199E159B08B29E7221D5AF14, StartTime=2016.06.01-03.10.24, HierarchicalDDC=, DataSize=8226, Duration=6.731991, RunGuid=RunID91778BFD4738AB02AC347999B09DF07F
DDCTransactionIdD729C11543978853B2936381067C9C18_12, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_9E__4F1319C1626FB4A5A42901E32E306355D1992748, StartTime=2016.06.01-03.10.24, HierarchicalDDC=, DataSize=2429, Duration=6.615188, RunGuid=RunID91778BFD4738AB02AC347999B09DF07F
DDCTransactionId41E8C19E43A135C5ECE76DAB03019562_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_366B2F1D4032C19FB0E167A8C599CFE__CB512E6E4D18770146EEA7116B885BAE6988F8A6, StartTime=2016.06.01-03.10.24, HierarchicalDDC=, DataSize=1026, Duration=5.648788, RunGuid=RunID91778BFD4738AB02AC347999B09DF07F
DDCTransactionId1B1C9B294D52C06AC67F10BE514D25B9_14, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_9E__8FA0804E05D69045C79143EF650C4CDC68D92C9D, StartTime=2016.06.01-03.10.24, HierarchicalDDC=, DataSize=2429, Duration=5.347558, RunGuid=RunID91778BFD4738AB02AC347999B09DF07F
DDCTransactionId41E8C19E43A135C5ECE76DAB03019562_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0ABFFB864A7CA6E73A013AB85F25C39__5127343C60A99715746F49B227ECD75AB5F87497, StartTime=2016.06.01-03.10.24, HierarchicalDDC=, DataSize=1026, Duration=5.131573, RunGuid=RunID91778BFD4738AB02AC347999B09DF07F
DDCTransactionIdD729C11543978853B2936381067C9C18_13, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_E14F3D48471AB17C3__B9A3E0CD5D0419EA6F359BC4A05CC989CACDF371, StartTime=2016.06.01-03.10.24, HierarchicalDDC=, DataSize=645, Duration=4.542638, RunGuid=RunID91778BFD4738AB02AC347999B09DF07F
DDCTransactionId41E8C19E43A135C5ECE76DAB03019562_15, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_BE__D589E7F98CC327A67C13657169C15440318AAB56, StartTime=2016.06.01-03.10.24, HierarchicalDDC=, DataSize=781, Duration=5.414773, RunGuid=RunID91778BFD4738AB02AC347999B09DF07F
DDCTransactionId1B1C9B294D52C06AC67F10BE514D25B9_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B97818DD41B4CBDF5F487AA7D065B2F__AFE9264AA9DCC5B669F834A8B83862B38F51CBA8, StartTime=2016.06.01-03.10.24, HierarchicalDDC=, DataSize=722, Duration=4.847147, RunGuid=RunID91778BFD4738AB02AC347999B09DF07F
DDCTransactionIdD729C11543978853B2936381067C9C18_14, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_BE__C07091E314D840F97F9FB911FA48D5469C9A1356, StartTime=2016.06.01-03.10.24, HierarchicalDDC=, DataSize=781, Duration=5.541410, RunGuid=RunID91778BFD4738AB02AC347999B09DF07F
DDCTransactionId1B1C9B294D52C06AC67F10BE514D25B9_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4526E0E2480184393162E69E7BB58AB__0585D18CF37B2C0A862492D86A5A8F8E88D9CECA, StartTime=2016.06.01-03.10.24, HierarchicalDDC=, DataSize=722, Duration=5.258214, RunGuid=RunID91778BFD4738AB02AC347999B09DF07F
