CookerStat, GenerateAssetRegistry=0.024181, Initialize=0.133608, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
DDCTransactionId34AC267146B9FAD0BC00659D40BC1E5A_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_42FA2E48482A5CF700CEDCBFACD9471__7BD2062463A4D9A0C89DE04954335F417FD07EF3, StartTime=2016.05.18-10.32.49, HierarchicalDDC=, DataSize=80515, Duration=6.481174, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
SavePackageTransactionIdB83026D0435062F405E7128D2C0D6156_0, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/FYP 4.11/Content/Assets/Models/Building_Upper002.uasset, AutoPackageBackupDelegate=22.017292, FlushAsyncLoading=0.014756, FlushStreamingFunc=0.062704, BlockTillAllRequestsFinished=0.006966, ResetLoadersForSaveUnMarkAllObjects=0.487298, TagPackageExports=0.056557, BeginCacheForCookedPlatformData=0.002049, SerializeImports=0.645082, GatherLocalizableTextData=0.366807, MarkNames=0.012293, SerializeSummary=0.018854, SerializeNames=0.095900, SerializeGatherableTextData=0.002053, BuildExportMap=0.030737, SortExportsNonSeekfree=0.013113, SortExportsSeekfreeConstructor=0.080738, SortExportsSeekfreeInner=0.787299, SortExportsSeekfree=0.003688, BuildDependencyMap=0.015572, SerializeImportMap=0.016391, SerializeExportMap=0.006970, SerializeDependencyMap=0.001639, SerializeStringAssetReferenceMap=0.002459, SaveThumbNailsAssetRegistryDataWorldLevelInfo=12.447178, SerializeExports=0.371721, SerializeBulkData=0.508610, MoveFile=5.515184, UnaccountedTime=2.895910, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
SavePackageTransactionIdB83026D0435062F405E7128D2C0D6156_1, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/FYP 4.11/Content/Assets/Models/Building_Upper003.uasset, AutoPackageBackupDelegate=10.602087, FlushAsyncLoading=0.013527, FlushStreamingFunc=0.094671, BlockTillAllRequestsFinished=0.007376, ResetLoadersForSaveUnMarkAllObjects=0.377871, TagPackageExports=0.051640, BeginCacheForCookedPlatformData=0.001639, SerializeImports=0.838529, GatherLocalizableTextData=0.346720, MarkNames=0.027869, SerializeSummary=0.015166, SerializeNames=0.068855, SerializeGatherableTextData=0.002459, BuildExportMap=0.031147, SortExportsNonSeekfree=0.016801, SortExportsSeekfreeConstructor=0.115577, SortExportsSeekfreeInner=1.343038, SortExportsSeekfree=0.010245, BuildDependencyMap=0.021722, SerializeImportMap=0.024181, SerializeExportMap=0.006147, SerializeDependencyMap=0.002459, SerializeStringAssetReferenceMap=0.004511, SaveThumbNailsAssetRegistryDataWorldLevelInfo=11.113155, SerializeExports=0.281557, SerializeBulkData=0.102870, MoveFile=7.911913, UnaccountedTime=1.878288, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
SavePackageTransactionIdB83026D0435062F405E7128D2C0D6156_2, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/FYP 4.11/Content/Assets/Models/Column_Bridge001.uasset, AutoPackageBackupDelegate=12.922179, FlushAsyncLoading=0.013527, FlushStreamingFunc=0.093851, BlockTillAllRequestsFinished=0.019673, ResetLoadersForSaveUnMarkAllObjects=0.392623, TagPackageExports=0.044264, BeginCacheForCookedPlatformData=0.001229, SerializeImports=0.744265, GatherLocalizableTextData=0.297133, MarkNames=0.009835, SerializeSummary=0.013933, SerializeNames=0.061888, SerializeGatherableTextData=0.001639, BuildExportMap=0.025410, SortExportsNonSeekfree=0.011474, SortExportsSeekfreeConstructor=0.008196, SortExportsSeekfreeInner=0.904921, SortExportsSeekfree=0.004102, BuildDependencyMap=0.011474, SerializeImportMap=0.008605, SerializeExportMap=0.005331, SerializeDependencyMap=0.001639, SerializeStringAssetReferenceMap=0.001639, SaveThumbNailsAssetRegistryDataWorldLevelInfo=12.163981, SerializeExports=0.361476, SerializeBulkData=0.029508, MoveFile=5.920920, UnaccountedTime=2.443451, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
SavePackageTransactionIdB83026D0435062F405E7128D2C0D6156_3, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/FYP 4.11/Content/Assets/Models/Column_Bridge002.uasset, AutoPackageBackupDelegate=11.328321, FlushAsyncLoading=0.018034, FlushStreamingFunc=0.073772, BlockTillAllRequestsFinished=0.007376, ResetLoadersForSaveUnMarkAllObjects=0.595495, TagPackageExports=0.097953, BeginCacheForCookedPlatformData=0.002459, SerializeImports=0.927463, GatherLocalizableTextData=0.281967, MarkNames=0.009835, SerializeSummary=0.013936, SerializeNames=0.064343, SerializeGatherableTextData=0.001639, BuildExportMap=0.025000, SortExportsNonSeekfree=0.011478, SortExportsSeekfreeConstructor=0.008196, SortExportsSeekfreeInner=0.830330, SortExportsSeekfree=0.004098, BuildDependencyMap=0.011887, SerializeImportMap=0.013117, SerializeExportMap=0.006147, SerializeDependencyMap=0.001229, SerializeStringAssetReferenceMap=0.002049, SaveThumbNailsAssetRegistryDataWorldLevelInfo=10.533236, SerializeExports=0.311475, SerializeBulkData=0.131149, MoveFile=5.756989, UnaccountedTime=1.558613, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
SavePackageTransactionIdB83026D0435062F405E7128D2C0D6156_4, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/FYP 4.11/Content/Assets/Models/Column_Edge001.uasset, AutoPackageBackupDelegate=12.173403, FlushAsyncLoading=0.022132, FlushStreamingFunc=0.125822, BlockTillAllRequestsFinished=0.008605, ResetLoadersForSaveUnMarkAllObjects=0.328690, TagPackageExports=0.043854, BeginCacheForCookedPlatformData=0.001639, SerializeImports=0.557378, GatherLocalizableTextData=0.302870, MarkNames=0.009015, SerializeSummary=0.011478, SerializeNames=0.084836, SerializeGatherableTextData=0.013113, BuildExportMap=0.036478, SortExportsNonSeekfree=0.011064, SortExportsSeekfreeConstructor=0.008196, SortExportsSeekfreeInner=1.236889, SortExportsSeekfree=0.010658, BuildDependencyMap=0.030737, SerializeImportMap=0.011064, SerializeExportMap=0.006147, SerializeDependencyMap=0.002049, SerializeStringAssetReferenceMap=0.003688, SaveThumbNailsAssetRegistryDataWorldLevelInfo=11.292253, SerializeExports=0.361890, SerializeBulkData=0.034425, MoveFile=5.323384, UnaccountedTime=3.308617, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
SavePackageTransactionIdB83026D0435062F405E7128D2C0D6156_5, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/FYP 4.11/Content/Assets/Models/Column_Edge002.uasset, AutoPackageBackupDelegate=12.807015, FlushAsyncLoading=0.036884, FlushStreamingFunc=0.140984, BlockTillAllRequestsFinished=0.014346, ResetLoadersForSaveUnMarkAllObjects=0.754099, TagPackageExports=0.050411, BeginCacheForCookedPlatformData=0.001639, SerializeImports=0.714757, GatherLocalizableTextData=0.251234, MarkNames=0.009015, SerializeSummary=0.014342, SerializeNames=0.077460, SerializeGatherableTextData=0.001639, BuildExportMap=0.040576, SortExportsNonSeekfree=0.010654, SortExportsSeekfreeConstructor=0.007786, SortExportsSeekfreeInner=0.910252, SortExportsSeekfree=0.004098, BuildDependencyMap=0.011064, SerializeImportMap=0.018854, SerializeExportMap=0.009425, SerializeDependencyMap=0.001639, SerializeStringAssetReferenceMap=0.002459, SaveThumbNailsAssetRegistryDataWorldLevelInfo=11.589386, SerializeExports=0.451230, SerializeBulkData=0.065576, MoveFile=5.716413, UnaccountedTime=1.645088, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
SavePackageTransactionIdB83026D0435062F405E7128D2C0D6156_6, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/FYP 4.11/Content/Assets/Models/Column_Edge003.uasset, AutoPackageBackupDelegate=11.577502, FlushAsyncLoading=0.014346, FlushStreamingFunc=0.076640, BlockTillAllRequestsFinished=0.006557, ResetLoadersForSaveUnMarkAllObjects=0.383608, TagPackageExports=0.039343, BeginCacheForCookedPlatformData=0.001639, SerializeImports=0.694677, GatherLocalizableTextData=0.306558, MarkNames=0.008605, SerializeSummary=0.013527, SerializeNames=0.064753, SerializeGatherableTextData=0.001229, BuildExportMap=0.026640, SortExportsNonSeekfree=0.011064, SortExportsSeekfreeConstructor=0.008199, SortExportsSeekfreeInner=0.780739, SortExportsSeekfree=0.003278, BuildDependencyMap=0.010658, SerializeImportMap=0.013523, SerializeExportMap=0.005737, SerializeDependencyMap=0.001639, SerializeStringAssetReferenceMap=0.001639, SaveThumbNailsAssetRegistryDataWorldLevelInfo=10.879960, SerializeExports=0.299592, SerializeBulkData=0.056967, MoveFile=4.850838, UnaccountedTime=1.413122, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
SavePackageTransactionIdB83026D0435062F405E7128D2C0D6156_7, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/FYP 4.11/Content/Assets/Models/Column_Pillar001.uasset, AutoPackageBackupDelegate=13.964806, FlushAsyncLoading=0.015575, FlushStreamingFunc=0.055738, BlockTillAllRequestsFinished=0.006147, ResetLoadersForSaveUnMarkAllObjects=0.413526, TagPackageExports=0.040572, BeginCacheForCookedPlatformData=0.001639, SerializeImports=0.595495, GatherLocalizableTextData=0.386886, MarkNames=0.007786, SerializeSummary=0.010658, SerializeNames=0.072949, SerializeGatherableTextData=0.001639, BuildExportMap=0.022542, SortExportsNonSeekfree=0.011478, SortExportsSeekfreeConstructor=0.008605, SortExportsSeekfreeInner=0.773773, SortExportsSeekfree=0.014756, BuildDependencyMap=0.009015, SerializeImportMap=0.021718, SerializeExportMap=0.006970, SerializeDependencyMap=0.001639, SerializeStringAssetReferenceMap=0.001229, SaveThumbNailsAssetRegistryDataWorldLevelInfo=11.536930, SerializeExports=0.372954, SerializeBulkData=0.138525, MoveFile=7.647976, UnaccountedTime=2.778292, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
SavePackageTransactionIdB83026D0435062F405E7128D2C0D6156_8, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/FYP 4.11/Content/Assets/Models/Door_Gate001.uasset, AutoPackageBackupDelegate=11.180780, FlushAsyncLoading=0.025820, FlushStreamingFunc=0.043031, BlockTillAllRequestsFinished=0.004508, ResetLoadersForSaveUnMarkAllObjects=0.428282, TagPackageExports=0.063118, BeginCacheForCookedPlatformData=0.002049, SerializeImports=0.863526, GatherLocalizableTextData=0.295904, MarkNames=0.013113, SerializeSummary=0.017624, SerializeNames=0.191804, SerializeGatherableTextData=0.004508, BuildExportMap=0.052460, SortExportsNonSeekfree=0.023771, SortExportsSeekfreeConstructor=0.026230, SortExportsSeekfreeInner=1.246724, SortExportsSeekfree=0.006970, BuildDependencyMap=0.018440, SerializeImportMap=0.011068, SerializeExportMap=0.015981, SerializeDependencyMap=0.002049, SerializeStringAssetReferenceMap=0.002459, SaveThumbNailsAssetRegistryDataWorldLevelInfo=11.499223, SerializeExports=0.288118, SerializeBulkData=0.179097, MoveFile=4.269279, UnaccountedTime=1.476236, RunGuid=RunID1B835D434100FF64E6EA84A10D05F4C6
