CookerStat, GenerateAssetRegistry=0.087295, Initialize=0.585657, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionIdC54BCDCE496A8C46EAB0EEB0D6737844_19, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_029A05F2447002B4110225BE1BFDC925__1_0_13123_0, StartTime=2016.04.15-18.16.01, HierarchicalDDC=, DataSize=347, Duration=2.552055, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionId393C52004D042249609EA6B69956B66E_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_EF28F51F4188D727287343B5547298B2__1_0_13123_0, StartTime=2016.04.15-18.16.01, HierarchicalDDC=, DataSize=423, Duration=11.812728, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionId246684A843D0729B930483BB15731CC5_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_741F51B342E3CAB37FB886A0FD1C63AD__1_0_13123_0, StartTime=2016.04.15-18.16.01, HierarchicalDDC=, DataSize=423, Duration=9.625021, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionIdC54BCDCE496A8C46EAB0EEB0D6737844_20, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4611C93E4B9C04712EF8B7ADE284E67F__1_0_13123_0, StartTime=2016.04.15-18.16.01, HierarchicalDDC=, DataSize=347, Duration=9.656574, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionId246684A843D0729B930483BB15731CC5_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5D8819C84C4B53FB7AA10B89607CD6A3__1_0_13123_0, StartTime=2016.04.15-18.16.01, HierarchicalDDC=, DataSize=347, Duration=14.866833, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionIdC54BCDCE496A8C46EAB0EEB0D6737844_21, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_065E5F44478F5C472A3D719304075978__1_0_13123_0, StartTime=2016.04.15-18.16.01, HierarchicalDDC=, DataSize=347, Duration=12.000844, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionId393C52004D042249609EA6B69956B66E_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_029FD3FD4EFFE567C99311B6C5980AC8__1_0_13123_0, StartTime=2016.04.15-18.16.01, HierarchicalDDC=, DataSize=347, Duration=14.544290, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionId246684A843D0729B930483BB15731CC5_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DDB3F0484F5F23FD16D4B79CA37B30B5__1_0_13123_0, StartTime=2016.04.15-18.16.04, HierarchicalDDC=, DataSize=458, Duration=3.795497, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionId393C52004D042249609EA6B69956B66E_19, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E1C039F8436C5A5F79304CAA7E8E95CA__1_0_13123_0, StartTime=2016.04.15-18.16.04, HierarchicalDDC=, DataSize=347, Duration=3.212299, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
DDCTransactionIdC54BCDCE496A8C46EAB0EEB0D6737844_22, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_994BABFC48EB3109842D9495CD810C65__1_0_13123_0, StartTime=2016.04.15-18.16.04, HierarchicalDDC=, DataSize=437, Duration=2.738941, RunGuid=RunID0A2338DE4E5089815192D8A4185B527F
