CookerStat, GenerateAssetRegistry=0.040166, Initialize=0.205327, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
DDCTransactionIdF9A947184456E9F09629E3A368C739B0_11, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_9A6A756941D29ED23CE1A2A6503BC596___18F530170DA38C81E14105DA1F56804464A2EF5B, StartTime=2016.06.08-08.52.40, HierarchicalDDC=, DataSize=65795, Duration=11.482835, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
DDCTransactionId385D48C2456548F39D20D3B29541BEAC_9, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_9A6A756941D29ED23CE1A2A6503BC596___7E1C71C77B45D34FCB3E1B33F4C8E1D95727B382, StartTime=2016.06.08-08.52.40, HierarchicalDDC=, DataSize=16643, Duration=14.423423, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
DDCTransactionIdF9A947184456E9F09629E3A368C739B0_12, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_9A6A756941D29ED23CE1A2A6503BC596___35D3A68ACB28D7A775A09B76E241B2761BEDDC25, StartTime=2016.06.08-08.52.40, HierarchicalDDC=, DataSize=7468, Duration=9.647582, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
DDCTransactionId96B3AE1E468305173E1D3CB42157FC47_4, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7C05F9894215D5057707448C7BFA3350_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.06.08-08.52.40, Duration=5360.168457, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
DDCTransactionIdD9F8FCA6401BD9A37486F6ACC8568DE1_10, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7C05F9894215D5057707448C7BFA3__7582C5D83A19BC648B2663D3EFD617DBE9F48C18, StartTime=2016.06.08-08.52.46, HierarchicalDDC=, DataSize=8388873, Duration=38.760815, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
DDCTransactionId385D48C2456548F39D20D3B29541BEAC_10, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7C05F9894215D5057707448C7BFA3__9CBC85BF52C2E0AF5EA37578A83C95D3517DB15A, StartTime=2016.06.08-08.52.46, HierarchicalDDC=, DataSize=2097417, Duration=21.822222, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
DDCTransactionIdF9A947184456E9F09629E3A368C739B0_13, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7C05F9894215D5057707448C7BFA3__484FEE57BF5A2CD1C1BC6BF3D4AF3A7BEB5FBA3F, StartTime=2016.06.08-08.52.46, HierarchicalDDC=, DataSize=524553, Duration=25.730434, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
DDCTransactionIdD9F8FCA6401BD9A37486F6ACC8568DE1_11, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7C05F9894215D5057707448C7BFA3__82C53052A2B61FEE72F3A9EC14B28771C505D189, StartTime=2016.06.08-08.52.46, HierarchicalDDC=, DataSize=131335, Duration=24.605427, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
DDCTransactionId385D48C2456548F39D20D3B29541BEAC_11, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7C05F9894215D5057707448C7BFA3__FC69D1C4120C8C93631904719B7205389861A907, StartTime=2016.06.08-08.52.46, HierarchicalDDC=, DataSize=33031, Duration=12.038164, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
DDCTransactionId96B3AE1E468305173E1D3CB42157FC47_5, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_482941464110344D02B3279061E8273E_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000D000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.06.08-08.52.46, Duration=0.404917, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
DDCTransactionIdF9A947184456E9F09629E3A368C739B0_14, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7C05F9894215D5057707448C7BFA3__0AEF7DF8D917DC81A700D691B104EE157EF5EF14, StartTime=2016.06.08-08.52.46, HierarchicalDDC=, DataSize=8455, Duration=9.414382, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
DDCTransactionId385D48C2456548F39D20D3B29541BEAC_12, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7C05F9894215D5057707448C7BFA3__6DFFFDA8793A11DB228CCDA9B8E77478A8C35C7F, StartTime=2016.06.08-08.52.46, HierarchicalDDC=, DataSize=5046, Duration=19.586145, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
DDCTransactionIdF9A947184456E9F09629E3A368C739B0_15, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_482941464110344D02B3279061E8273__6BFC177252CA572F7B4FE3A1E03FDBE74AC1F8B3, StartTime=2016.06.08-08.52.46, HierarchicalDDC=, DataSize=16696, Duration=7.754542, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
DDCTransactionId96B3AE1E468305173E1D3CB42157FC47_6, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_615248D94E9CF0F4CB5EBEAA492B01AB_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000100000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.06.08-08.52.46, Duration=157.127701, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
DDCTransactionIdD9F8FCA6401BD9A37486F6ACC8568DE1_12, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_615248D94E9CF0F4CB5EBEAA492B01AB___2F65E2A25FBB230525C6E26D009526862C654293, StartTime=2016.06.08-08.52.46, HierarchicalDDC=, DataSize=1048837, Duration=13.706203, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
