CookerStat, GenerateAssetRegistry=0.039347, Initialize=0.257786, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionIdE66EAC24411C74B0639FCA8CF16D56A2_15, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_1299BC9F41578BBF45F20EBFD947D__53B58878413E3DD2CC7803ACE8D985B31EE8C2E5, StartTime=2016.05.21-13.40.56, HierarchicalDDC=, DataSize=16647, Duration=10.981191, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionId59A2C785417F3B2E3AABDA9CD057D88F_12, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_1299BC9F41578BBF45F20EBFD947D__D5B353778543E65DD884AB534E64CB098FA24083, StartTime=2016.05.21-13.40.56, HierarchicalDDC=, DataSize=6309, Duration=9.413969, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionId112526E548F27DD7B688DA9B4D54B24F_11, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7FB69A1947C8657B2FEA7AA533C10125_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.21-13.40.56, Duration=19.492693, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionId80E83CE84C2F35EF440D0292074551AB_17, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7FB69A1947C8657B2FEA7AA533C10__3BEA9D96B46A416DC6AE213BB7436A93F787D051, StartTime=2016.05.21-13.40.56, HierarchicalDDC=, DataSize=16647, Duration=8.063961, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionId59A2C785417F3B2E3AABDA9CD057D88F_13, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7FB69A1947C8657B2FEA7AA533C10__ADBF1F6E76CF0A19ADA50D335821CEB58F8B0AC6, StartTime=2016.05.21-13.40.56, HierarchicalDDC=, DataSize=6309, Duration=30.853804, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionId112526E548F27DD7B688DA9B4D54B24F_12, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_28C5B2B547B6FBFFB5423DBAA083D8D6_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.21-13.40.56, Duration=35.839890, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionIdE66EAC24411C74B0639FCA8CF16D56A2_16, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_28C5B2B547B6FBFFB5423DBAA083D__D6033BEF1E97C4D60CA22D1FB7011435540FA4B2, StartTime=2016.05.21-13.40.56, HierarchicalDDC=, DataSize=16647, Duration=6.204940, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionId80E83CE84C2F35EF440D0292074551AB_18, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_28C5B2B547B6FBFFB5423DBAA083D__800F2190DB92FA4BFC25F8AD5992805E0E41C98B, StartTime=2016.05.21-13.40.56, HierarchicalDDC=, DataSize=6309, Duration=6.109860, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionId112526E548F27DD7B688DA9B4D54B24F_13, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_0E47C78C45B8F68848E981841313EA25_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.21-13.40.57, Duration=576.444336, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
DDCTransactionId59A2C785417F3B2E3AABDA9CD057D88F_14, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_0E47C78C45B8F68848E981841313E__BEFE38A68CB2E67156AA822E26836CB394F7ADA5, StartTime=2016.05.21-13.40.57, HierarchicalDDC=, DataSize=1048841, Duration=9.976674, RunGuid=RunID100CE85E41D5099126F3988D1601CFD2
